year,month,hour,city,state,make,model,model_year,vin,mileage_category,weather,roadway_type,roadway_surface,lighting,sv_pre_crash_movement,cp_pre_crash_movement,collision_category,highest_injury_severity_alleged
2025,5,20,Cupertino,CA,Tesla,Model Y,2024,7SAYGAEE5RF,Low,Clear,Intersection,Dry,Daylight,"Other, see Narrative",Proceeding Straight,Head-On Collision,Unknown
2025,5,15,River Ranch,FL,Tesla,Model X,2020,5YJXCAE21LF,High Medium,Clear,Rural Road,Dry,Daylight,Unknown,Unknown,Other / Unknown,Unknown
2025,5,18,Magnolia,TX,Tesla,Model 3,2025,5YJ3E1EB1SF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,23,Van Nuys,CA,Tesla,Model 3,2018,5YJ3E1EB0JF,Low,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Top / Rollover / Unusual Impact,Unknown
2025,5,20,Baker,CA,Tesla,Model Y,2023,7SAYGDEE6PF,High Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,21,Glendale,CA,Tesla,Model Y,2021,5YJYGDEE7MF,Very High,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,5,16,Midlothian,VA,Tesla,Model 3,2019,5YJ3E1EB5KF,High,Cloudy,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Top / Rollover / Unusual Impact,Unknown
2025,5,15,San Diego,CA,Tesla,Model Y,2022,7SAYGDEE9NF,High Medium,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Unknown,Other / Unknown,Unknown
2025,5,21,Bee Cave,TX,Tesla,Model 3,2025,5YJ3E1EA2SF,Low,Cloudy,Highway / Freeway,Dry,Daylight,Unknown,Unknown,Other / Unknown,Unknown
2025,5,12,Dallas,TX,Tesla,Model Y,2025,7SAYGDEDXSA,Low,Cloudy,Highway / Freeway,Dry,Dawn / Dusk,Lane / Road Departure,Unknown,Other / Unknown,Unknown
